Movie,AverageVote
"The Trouble with Harry",6.9
"Dr. No",6.9
"Hellraiser",6.9
"Blue Valentine",6.9
"Transamerica",6.9
"Welcome to the Dollhouse",6.9
"American Graffiti",6.9
"Mean Creek",6.9
"Crazy Stone",6.9
"As It Is in Heaven",6.9
"Blue Ruin",6.9
"Murderball",6.9
"Dogtooth",6.9
"Cube",6.9
"Shotgun Stories",6.9
"Bronson",6.9
"The Call of Cthulhu",6.9
"Primer",6.9
"Iron Man 3",6.8
"Thor: The Dark World",6.8
"Mission: Impossible - Ghost Protocol",6.8
"Spider-Man",6.8
"Home",6.8
"X2",6.8
"The Croods",6.8
"The Patriot",6.8
"True Lies",6.8
"The Hunchback of Notre Dame",6.8
"A.I. Artificial Intelligence",6.8
"Spy Game",6.8
"Hotel Transylvania",6.8
"Face/Off",6.8
"What Dreams May Come",6.8
"X-Men",6.8
"The Prince of Egypt",6.8
"Any Given Sunday",6.8
"The Great Raid",6.8
"Grindhouse",6.8
"Non-Stop",6.8
"The Negotiator",6.8
"Insomnia",6.8
"A Bug's Life",6.8
"Charlie St. Cloud",6.8
"Micmacs",6.8
"8 Mile",6.8
"American Hustle",6.8
"42",6.8
"Jersey Boys",6.8
"Amistad",6.8
"Dragon Nest: Warriors' Dawn",6.8
"We're the Millers",6.8
"Secretariat",6.8
"Radio",6.8
"The Fountain",6.8
"Speed",6.8
"The Curse of the Were-Rabbit",6.8
"Winnie the Pooh",6.8
"North Country",6.8
"Pitch Perfect 2",6.8
"The Jacket",6.8
"Dawn of the Dead",6.8
"Kundun",6.8
"Martian Child",6.8
"Shakespeare in Love",6.8
"Ever After: A Cinderella Story",6.8
"Brothers",6.8
"The Constant Gardener",6.8
"Chocolat",6.8
"The Lucky One",6.8
"The Road",6.8
"The Thief and the Cobbler",6.8
"The Water Diviner",6.8
"Shadowlands",6.8
"Max",6.8
"Ladyhawke",6.8
"A Scanner Darkly",6.8
"The Brothers Bloom",6.8
"My All American",6.8
"Indignation",6.8
"Gosford Park",6.8
"Center Stage",6.8
"Steve Jobs",6.8
"Mao's Last Dancer",6.8
"Veronica Guerin",6.8
"The Thirteenth Floor",6.8
"Highlander",6.8
"Welcome to the Sticks",6.8
"Beverly Hills Cop",6.8
"The Queen",6.8
"The Place Beyond the Pines",6.8
"Whatever Works",6.8
"Never Let Me Go",6.8
"Cool Runnings",6.8
"Quills",6.8
"Paris, je t'aime",6.8
"Brother",6.8
"Trade",6.8
"Vera Drake",6.8
"Dogma",6.8
"Big Eyes",6.8
"Dirty Pretty Things",6.8
"Malone",6.8
"Nicholas Nickleby",6.8
"Owning Mahowny",6.8
"The Best Man",6.8
"The Savages",6.8
"The Ultimate Gift",6.8
"Glee: The Concert Movie",6.8
"Flame & Citron",6.8
"The Lost Boys",6.8
"Crazy Heart",6.8
"The Rose",6.8
"The Namesake",6.8
"The DUFF",6.8
"Bright Star",6.8
"An Education",6.8
"Narc",6.8
"Good Night, and Good Luck.",6.8
"Capote",6.8
"Desperado",6.8
"The Descent",6.8
"Rabbit-Proof Fence",6.8
"Two Lovers and a Bear",6.8
"La Bamba",6.8
"Dressed to Kill",6.8
"A Home at the End of the World",6.8
"Mallrats",6.8
"Fahrenheit 9/11",6.8
"The Guard",6.8
"11:14",6.8
"Winter in Wartime",6.8
"The Protector",6.8
"Chariots of Fire",6.8
"Le Havre",6.8
"10 Cloverfield Lane",6.8
"20,000 Leagues Under the Sea",6.8
"The Man from Snowy River",6.8
"The Sweet Hereafter",6.8
"Bottle Rocket",6.8
"The Misfits",6.8
"The Full Monty",6.8
"Gods and Monsters",6.8
"Human Traffic",6.8
"To Write Love on Her Arms",6.8
"The Class",6.8
"Beginners",6.8
"Water",6.8
"That Thing You Do!",6.8
"Saving Face",6.8
"Robot & Frank",6.8
"The Spectacular Now",6.8
"Courageous",6.8
"Gentleman's Agreement",6.8
"Winter's Bone",6.8
"The Diary of a Teenage Girl",6.8
"Inside Deep Throat",6.8
"Gangster's Paradise: Jerusalema",6.8
"Beasts of the Southern Wild",6.8
"Caramel",6.8
"Kids",6.8
"Insidious",6.8
"The Believer",6.8
"Trucker",6.8
"The Holy Girl",6.8
"How Green Was My Valley",6.8
"Monsoon Wedding",6.8
"You Can Count on Me",6.8
"The Charge of the Light Brigade",6.8
"From a Whisper to a Scream",6.8
"October Baby",6.8
"Ajami",6.8
"Hard Candy",6.8
"Bambi",6.8
"Safety Not Guaranteed",6.8
"Swingers",6.8
"Another Earth",6.8
"In the Company of Men",6.8
"Flywheel",6.8
"Spider-Man 2",6.7
"World War Z",6.7
"Pacific Rim",6.7
"Brave",6.7
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",6.7
"The Jungle Book",6.7
"Charlie and the Chocolate Factory",6.7
"The Matrix Reloaded",6.7
"Kung Fu Panda 2",6.7
"Mr. Peabody & Sherman",6.7
"Kung Fu Panda 3",6.7
"The Adventures of Tintin",6.7
"Megamind",6.7
"Ali",6.7
"I, Robot",6.7
"The Princess and the Frog",6.7
"Starship Troopers",6.7
"Cinderella",6.7
"Atlantis: The Lost Empire",6.7
"Valkyrie",6.7
"Now You See Me 2",6.7
"Seabiscuit",6.7
"The Holiday",6.7
"Enemy of the State",6.7
"Arthur Christmas",6.7
"Creepshow",6.7
"Mission: Impossible",6.7
"Cold Mountain",6.7
"Hotel Transylvania 2",6.7
"The Edge",6.7
"Red Dragon",6.7
"Independence Day",6.7
"Shrek 2",6.7
"We Were Soldiers",6.7
"Escape Plan",6.7
"The Score",6.7
"Lincoln",6.7
"Focus",6.7
"We Are Marshall",6.7
"Oliver Twist",6.7
"Everest",6.7
"The Horse Whisperer",6.7
"This Is It",6.7
"ParaNorman",6.7
"State of Play",6.7
"Beyond Borders",6.7
"Pocahontas",6.7
"Ronin",6.7
"Flags of Our Fathers",6.7
"Zero Dark Thirty",6.7
"Jerry Maguire",6.7
"Payback",6.7
"Revolutionary Road",6.7
"The Ghost Writer",6.7
"21 Jump Street",6.7
"Cleopatra",6.7
"The Proposal",6.7
"A League of Their Own",6.7
"Eight Below",6.7
"The Rainmaker",6.7
"The Doors",6.7
"Rent",6.7
"Snowpiercer",6.7
"The Time Traveler's Wife",6.7
"Water for Elephants",6.7
"Dolphin Tale",6.7
"Dolphin Tale 2",6.7
"In Time",6.7
"Closer",6.7
"The Horseman on the Roof",6.7
"Step Up Revolution",6.7
"Scrooged",6.7
"Alive",6.7
"The Young and Prodigious T.S. Spivet",6.7
"The Addams Family",6.7
"The SpongeBob SquarePants Movie",6.7
"Up in the Air",6.7
"About Schmidt",6.7
"Four Brothers",6.7
"Wicker Park",6.7
"An Unfinished Life",6.7
"The Merchant of Venice",6.7
"Star Trek VI: The Undiscovered Country",6.7
"Joyful Noise",6.7
"The Duchess",6.7
"Return to Oz",6.7
"Anchorman: The Legend of Ron Burgundy",6.7
"Kingpin",6.7
"He Got Game",6.7
"Legend",6.7
"Michael Collins",6.7
"Pitch Black",6.7
"Spaceballs",6.7
"Moliere",6.7
"Away We Go",6.7
"eXistenZ",6.7
"School of Rock",6.7
"The Descendants",6.7
"Holes",6.7
"Orphan",6.7
"The World's End",6.7
"To Die For",6.7
"Endless Love",6.7
"Let Me In",6.7
"Topsy-Turvy",6.7
"Sea of Love",6.7
"Catch-22",6.7
"Young Sherlock Holmes",6.7
"The Last Station",6.7
"Labor Day",6.7
"The Railway Man",6.7
"Metallica: Through the Never",6.7
"Carlos",6.7
"Renaissance",6.7
"The Best Man Holiday",6.7
"Vicky Cristina Barcelona",6.7
"Detroit Rock City",6.7
"Things We Lost in the Fire",6.7
"Zulu",6.7
"Top Gun",6.7
"Wag the Dog",6.7
"U2 3D",6.7
"Whip It",6.7
"A Mighty Heart",6.7
"The Importance of Being Earnest",6.7
"Things to Do in Denver When You're Dead",6.7
"Shinjuku Incident",6.7
"Romeo + Juliet",6.7
"Born on the Fourth of July",6.7
"Crooklyn",6.7
"Reign of Assassins",6.7
"Seven Psychopaths",6.7
"Miracles from Heaven",6.7
"The Mist",6.7
"The Widow of Saint-Pierre",6.7
"Antwone Fisher",6.7
"Step Up",6.7
"Tales from the Crypt: Demon Knight",6.7
"The Host",6.7
"Cypher",6.7
"Phone Booth",6.7
"The Color of Money",6.7
"Bill & Ted's Excellent Adventure",6.7
"The Gift",6.7
"Gunless",6.7
"The Contender",6.7
"Election",6.7
"Repo! The Genetic Opera",6.7
"Akeelah and the Bee",6.7
"Easy A",6.7
"Prefontaine",6.7
"Harry Brown",6.7
"Definitely, Maybe",6.7
"The Other Side of Heaven",6.7
"Mother and Child",6.7
"Hesher",6.7
"Hard to Be a God",6.7
"The Chumscrubber",6.7
"Best in Show",6.7
"The Return of the Pink Panther",6.7
"No Escape",6.7
"The Barbarian Invasions",6.7
"UHF",6.7
"Green Room",6.7
"Silent Movie",6.7
"The Cooler",6.7
"Secretary",6.7
"Talk Radio",6.7
"Prison",6.7
"Troll Hunter",6.7
"Winter Passing",6.7
"Margin Call",6.7
"Bella",6.7
"Sinister",6.7
"Family Plot",6.7
"Summer Storm",6.7
"Jesus' Son",6.7
"The Brave Little Toaster",6.7
"Bully",6.7
"Thirteen",6.7
"Eden Lake",6.7
"Bananas",6.7
"Coffee Town",6.7
"River's Edge",6.7
"Northfork",6.7
"Hang 'em High",6.7
"Mississippi Mermaid",6.7
"Waitress",6.7
"Repo Man",6.7
"Trees Lounge",6.7
"Niagara",6.7
"Sex, Lies, and Videotape",6.7
"Cotton Comes to Harlem",6.7
"An Inconvenient Truth",6.7
"The Skeleton Twins",6.7
"Martha Marcy May Marlene",6.7
"Obvious Child",6.7
"Frozen River",6.7
"Bubba Ho-tep",6.7
"Blue Car",6.7
"Wristcutters: A Love Story",6.7
"Latter Days",6.7
"L.I.E.",6.7
"Napoleon Dynamite",6.7
"Chasing Amy",6.7
"The Beast from 20,000 Fathoms",6.7
"Supporting Characters",6.7
"Clean",6.7
"King Kong",6.6
"The Good Dinosaur",6.6
"Star Trek Beyond",6.6
"A Christmas Carol",6.6
"Iron Man 2",6.6
"The Fast and the Furious",6.6
"The Hunger Games: Mockingjay - Part 2",6.6
"Pearl Harbor",6.6
"Transformers",6.6
"Thor",6.6
"Captain America: The First Avenger",6.6
"Rango",6.6
"The Hunger Games: Mockingjay - Part 1",6.6
"Real Steel",6.6
"Ender's Game",6.6
"Kingdom of Heaven",6.6
"Cloud Atlas",6.6
"The Lovely Bones",6.6
"Conan the Barbarian",6.6
"Enchanted",6.6
"Dredd",6.6
"Batman Returns",6.6
"The Book of Eli",6.6
"Madagascar",6.6
"50 First Dates",6.6
"Dreamgirls",6.6
"Jarhead",6.6
"The Majestic",6.6
"Cars",6.6
"Hook",6.6
"Die Hard 2",6.6
"The X Files",6.6
"GoldenEye",6.6
"2 Guns",6.6
"The Italian Job",6.6
"RED",6.6
"The Boxtrolls",6.6
"Trouble with the Curve",6.6
"The Soloist",6.6
"Sinbad: Legend of the Seven Seas",6.6
"Meet the Parents",6.6
"Elizabeth: The Golden Age",6.6
"Robin Hood: Prince of Thieves",6.6
"Super 8",6.6
"Free State of Jones",6.6
"Chappie",6.6
"Three Kings",6.6
"The Cotton Club",6.6
"The Thomas Crown Affair",6.6
"The Infiltrator",6.6
"From Hell",6.6
"The Hitchhiker's Guide to the Galaxy",6.6
"Blended",6.6
"Curse of the Golden Flower",6.6
"Unleashed",6.6
"The Firm",6.6
"A Knight's Tale",6.6
"Julie & Julia",6.6
"Big Miracle",6.6
"Disturbia",6.6
"The Hunting Party",6.6
"Frankenweenie",6.6
"Breakdown",6.6
"Walk Hard: The Dewey Cox Story",6.6
"Radio Flyer",6.6
"Smilla's Sense of Snow",6.6
"Ride with the Devil",6.6
"Goal!: The Dream Begins",6.6
"Bringing Out the Dead",6.6
"Looper",6.6
"Letters to Juliet",6.6
"Step Up 3D",6.6
"Little Shop of Horrors",6.6
"Take the Lead",6.6
"9",6.6
"Love & Other Drugs",6.6
"Ripley's Game",6.6
"Confessions of a Dangerous Mind",6.6
"Florence Foster Jenkins",6.6
"Serendipity",6.6
"About a Boy",6.6
"Pineapple Express",6.6
"Million Dollar Arm",6.6
"Dear John",6.6
"Gettysburg",6.6
"Me and Orson Welles",6.6
"Old School",6.6
"The Naked Gun 2½: The Smell of Fear",6.6
"Marvin's Room",6.6
"The End of the Affair",6.6
"In the Valley of Elah",6.6
"Coco Before Chanel",6.6
"Underworld",6.6
"The Transporter",6.6
"Tinker Tailor Soldier Spy",6.6
"Team America: World Police",6.6
"The Bank Job",6.6
"I'm Not There.",6.6
"Three Kingdoms: Resurrection of the Dragon",6.6
"The Mask",6.6
"Cop Land",6.6
"Black Snake Moan",6.6
"Felicia's Journey",6.6
"The Assassin",6.6
"Fatal Attraction",6.6
"The Spy Who Loved Me",6.6
"Young Guns",6.6
"Two Can Play That Game",6.6
"Crazy/Beautiful",6.6
"The Call",6.6
"Chronicle",6.6
"Time Bandits",6.6
"One Hour Photo",6.6
"The Boys from Brazil",6.6
"Crank",6.6
"Two Lovers",6.6
"Major League",6.6
"Cruel Intentions",6.6
"Kinsey",6.6
"Recess: School's Out",6.6
"Tremors",6.6
"The Long Riders",6.6
"My Week with Marilyn",6.6
"Danny Collins",6.6
"The Limey",6.6
"Shaolin Soccer",6.6
"The Purge: Anarchy",6.6
"Harold & Kumar Go to White Castle",6.6
"Silmido",6.6
"All Is Lost",6.6
"Namastey London",6.6
"Enough Said",6.6
"Shadow of the Vampire",6.6
"Made in Dagenham",6.6
"Fido",6.6
"Soul Food",6.6
"Far from Men",6.6
"Logan's Run",6.6
"The Devil's Rejects",6.6
"A Serious Man",6.6
"Caddyshack",6.6
"A Mighty Wind",6.6
"Pollock",6.6
"Little Voice",6.6
"Shattered Glass",6.6
"The First Great Train Robbery",6.6
"Robin and Marian",6.6
"Grandma's Boy",6.6
"Bottle Shock",6.6
"Kill the Messenger",6.6
"Standard Operating Procedure",6.6
"Four Weddings and a Funeral",6.6
"Spun",6.6
"Blackthorn",6.6
"Paa",6.6
"The Greatest Show on Earth",6.6
"Mirrormask",6.6
"Trust",6.6
"The Loved Ones",6.6
"The Pirate",6.6
"The History Boys",6.6
"Slow West",6.6
"Basquiat",6.6
"Freakonomics",6.6
"High Tension",6.6
"Super",6.6
"Do You Believe?",6.6
"It Follows",6.6
"Everything You Always Wanted to Know About Sex *But Were Afraid to Ask",6.6
"Smoke Signals",6.6
"Buried",6.6
"Bloodsport",6.6
"Pontypool",6.6
"Super Troopers",6.6
"Beyond the Valley of the Dolls",6.6
"The Sessions",6.6
"Taxi to the Dark Side",6.6
"Special",6.6
"Charly",6.6
"Saints and Soldiers",6.6
"The Beyond",6.6
"My Beautiful Laundrette",6.6
"Exam",6.6
"Mad Max",6.6
"Facing the Giants",6.6
"Super Size Me",6.6
"The Circle",6.6
"El Mariachi",6.6
"Man of Steel",6.5
"The Amazing Spider-Man",6.5
"Jurassic World",6.5
"The Amazing Spider-Man 2",6.5
"Shin Godzilla",6.5
"Alice Through the Looking Glass",6.5
"Angels & Demons",6.5
"Mission: Impossible III",6.5
"Penguins of Madagascar",6.5
"The Da Vinci Code",6.5
"Mr. & Mrs. Smith",6.5
"The Island",6.5
"Public Enemies",6.5
"Legend of the Guardians: The Owls of Ga'Hoole",6.5
"In the Heart of the Sea",6.5
"The Peanuts Movie",6.5
"Cloudy with a Chance of Meatballs",6.5
"Ice Age: Dawn of the Dinosaurs",6.5
"Tropic Thunder",6.5
"Rio",6.5
"Ocean's Thirteen",6.5
"Hellboy II: The Golden Army",6.5
"Con Air",6.5
"Space Jam",6.5
"Conspiracy Theory",6.5
"Hidalgo",6.5
"Ice Age: The Meltdown",6.5
"Hairspray",6.5
"Charlie Wilson's War",6.5
"The Kingdom",6.5
"Vanilla Sky",6.5
"Body of Lies",6.5
"Step Brothers",6.5
"Mona Lisa Smile",6.5
"The Long Kiss Goodnight",6.5
"Wyatt Earp",6.5
"The American President",6.5
"The Family Man",6.5
"Hellboy",6.5
"Event Horizon",6.5
"Just Like Heaven",6.5
"Superman II",6.5
"The Adjustment Bureau",6.5
"We Bought a Zoo",6.5
"Fair Game",6.5
"Anna Karenina",6.5
"The Bone Collector",6.5
"Panic Room",6.5
"Out of Sight",6.5
"Riding in Cars with Boys",6.5
"The Muppets",6.5
"Blade",6.5
"Dune",6.5
"The Pledge",6.5
"Chicken Run",6.5
"The Heat",6.5
"The Mirror Has Two Faces",6.5
"I Love You, Man",6.5
"Unknown",6.5
"The Lake House",6.5
"The Odd Life of Timothy Green",6.5
"Paul",6.5
"Colombiana",6.5
"Marie Antoinette",6.5
"Pandorum",6.5
"A Monster in Paris",6.5
"Burn After Reading",6.5
"Ip Man 3",6.5
"Horrible Bosses",6.5
"21",6.5
"Friends with Benefits",6.5
"The Four Feathers",6.5
"The Tree of Life",6.5
"A Good Year",6.5
"Mandela: Long Walk to Freedom",6.5
"Bridesmaids",6.5
"Flight",6.5
"The Princess Diaries",6.5
"The First Wives Club",6.5
"The Cabin in the Woods",6.5
"Hanna",6.5
"Gridiron Gang",6.5
"Space Pirate Captain Harlock",6.5
"Rob Roy",6.5
"We Own the Night",6.5
"Money Monster",6.5
"The Curse of the Jade Scorpion",6.5
"Bridget Jones's Diary",6.5
"A Lot Like Love",6.5
"EuroTrip",6.5
"Draft Day",6.5
"Kung Fu Jungle",6.5
"Rocky Balboa",6.5
"Beyond the Sea",6.5
"Bad Boys",6.5
"The Ides of March",6.5
"The Longshots",6.5
"Bodyguards and Assassins",6.5
"1408",6.5
"There's Something About Mary",6.5
"The Rookie",6.5
"Out of the Furnace",6.5
"Michael Clayton",6.5
"Moonlight Mile",6.5
"Wayne's World",6.5
"This Is Where I Leave You",6.5
"Quigley Down Under",6.5
"Simon Birch",6.5
"The Greatest Story Ever Told",6.5
"The Man Who Knew Too Little",6.5
"Everyone Says I Love You",6.5
"Death Sentence",6.5
"Everybody's Fine",6.5
"Sweet Charity",6.5
"Inherent Vice",6.5
"A Most Violent Year",6.5
"The Children of Huang Shi",6.5
"The Devil's Double",6.5
"The Bounty",6.5
"Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan",6.5
"Bad Santa",6.5
"Austin Powers: International Man of Mystery",6.5
"Dragonslayer",6.5
"Mongol: The Rise of Genghis Khan",6.5
"Step Up 2: The Streets",6.5
"Dragon Hunters",6.5
"Dumb and Dumber",6.5
"Trance",6.5
"Tidal Wave",6.5
"28 Weeks Later",6.5
"A Most Wanted Man",6.5
"Dark Blue",6.5
"Transsiberian",6.5
"Crazy in Alabama",6.5
"District B13",6.5
"Buffalo Soldiers",6.5
"White Fang",6.5
"Dirty Work",6.5
"Find Me Guilty",6.5
"Beavis and Butt-Head Do America",6.5
"Project X",6.5
"Katy Perry: Part of Me",6.5
"Stir of Echoes",6.5
"Charlie Bartlett",6.5
"Stoker",6.5
"Ondine",6.5
"Fateless",6.5
"History of the World: Part I",6.5
"Stripes",6.5
"Happy Gilmore",6.5
"Black or White",6.5
"Killer Joe",6.5
"Rosewater",6.5
"World's Greatest Dad",6.5
"You Only Live Twice",6.5
"Thunderball",6.5
"Boiler Room",6.5
"Igby Goes Down",6.5
"On Her Majesty's Secret Service",6.5
"Bon Cop Bad Cop",6.5
"Rumble in the Bronx",6.5
"My Dog Skip",6.5
"Get Low",6.5
"Bride & Prejudice",6.5
"The East",6.5
"The Brothers",6.5
"Sliding Doors",6.5
"Bernie",6.5
"Lucky Break",6.5
"Insidious: Chapter 2",6.5
"A Nightmare on Elm Street 3: Dream Warriors",6.5
"Mommie Dearest",6.5
"Sunshine Cleaning",6.5
"Slums of Beverly Hills",6.5
"Of Gods and Men",6.5
"Out of the Blue",6.5
"Police Academy",6.5
"Easy Money",6.5
"Monster's Ball",6.5
"The Kids Are All Right",6.5
"Four Rooms",6.5
"The Art of Getting By",6.5
"Poolhall Junkies",6.5
"Joe",6.5
"Desert Dancer",6.5
"Defendor",6.5
"High Anxiety",6.5
"East Is East",6.5
"Letters to God",6.5
"Freeway",6.5
"Ulee's Gold",6.5
"Meek's Cutoff",6.5
"Exotica",6.5
"The Gatekeepers",6.5
"The Ballad of Jack and Rose",6.5
"Snow Angels",6.5
"Housebound",6.5
"But I'm a Cheerleader",6.5
"The Hammer",6.5
"London to Brighton",6.5
"Aqua Teen Hunger Force Colon Movie Film for Theaters",6.5
"The Sisterhood of Night",6.5
"Half Nelson",6.5
"Enter Nowhere",6.5
"Better Luck Tomorrow",6.5
"The Grace Card",6.5
"Your Sister's Sister",6.5
"The Birth of a Nation",6.5
"The Lost Skeleton of Cadavra",6.5
"Pirates of the Caribbean: On Stranger Tides",6.4
"Alice in Wonderland",6.4
"X-Men: Apocalypse",6.4
"The Polar Express",6.4
"The Matrix Revolutions",6.4
"White House Down",6.4
"Madagascar 3: Europe's Most Wanted",6.4
"Armageddon",6.4
"Puss in Boots",6.4
"The 13th Warrior",6.4
"Elysium",6.4
"Oblivion",6.4
"Star Wars: Episode II - Attack of the Clones",6.4
"Ocean's Twelve",6.4
"Live Free or Die Hard",6.4
"National Treasure",6.4
"Where the Wild Things Are",6.4
"Epic",6.4
"Green Zone",6.4
"Rush Hour 2",6.4
"The Rundown",6.4
"Bruce Almighty",6.4
"RED 2",6.4
"Evolution",6.4
"Cloudy with a Chance of Meatballs 2",6.4
"Wanted",6.4
"Tears of the Sun",6.4
"Anna and the King",6.4
"Minions",6.4
"Signs",6.4
"Ransom",6.4
"Red Dawn",6.4
"Clear and Present Danger",6.4
"Maze Runner: The Scorch Trials",6.4
"Joy",6.4
"DragonHeart",6.4
"Hitch",6.4
"City of Angels",6.4
"The Ghost and the Darkness",6.4
"The Pirates! In an Adventure with Scientists!",6.4
"Mamma Mia!",6.4
"Yes Man",6.4
"Absolute Power",6.4
"Liar Liar",6.4
"The Client",6.4
"Last Holiday",6.4
"Love in the Time of Cholera",6.4
"Heaven's Gate",6.4
"Underworld: Evolution",6.4
"Secret Window",6.4
"The Skeleton Key",6.4
"The Other Boleyn Girl",6.4
"Sweet November",6.4
"The Ugly Truth",6.4
"Star Trek: Generations",6.4
"Lethal Weapon 3",6.4
"Resident Evil",6.4
"The Nativity Story",6.4
"The Shipping News",6.4
"Elf",6.4
"Hearts in Atlantis",6.4
"Get Shorty",6.4
"Analyze This",6.4
"Warm Bodies",6.4
"Forgetting Sarah Marshall",6.4
"The Running Man",6.4
"Side Effects",6.4
"Get on Up",6.4
"The New World",6.4
"Machine Gun Preacher",6.4
"Role Models",6.4
"Last Vegas",6.4
"Hocus Pocus",6.4
"Cloverfield",6.4
"The Grey",6.4
"Nanny McPhee",6.4
"Kiss of the Dragon",6.4
"The Giver",6.4
"She's the Man",6.4
"The Hoax",6.4
"Blindness",6.4
"Think Like a Man Too",6.4
"Footloose",6.4
"Final Destination",6.4
"The Crew",6.4
"Jay and Silent Bob Strike Back",6.4
"Homefront",6.4
"Never Back Down",6.4
"Jackass 3D",6.4
"Copycat",6.4
"Pooh's Heffalump Movie",6.4
"The Quiet American",6.4
"Ghost Town",6.4
"Mrs Henderson Presents",6.4
"Connie and Carla",6.4
"Steamboy",6.4
"Leap Year",6.4
"Star Trek III: The Search for Spock",6.4
"Under the Tuscan Sun",6.4
"The Fog",6.4
"Small Time Crooks",6.4
"Being Julia",6.4
"Madea Goes to Jail",6.4
"Let's Be Cops",6.4
"Smokin' Aces",6.4
"Evil Dead",6.4
"The Young Messiah",6.4
"Arn: The Knight Templar",6.4
"Hollywood Ending",6.4
"The Homesman",6.4
"The Yellow Handkerchief",6.4
"Tuck Everlasting",6.4
"Confidence",6.4
"Jonah: A VeggieTales Movie",6.4
"Bobby",6.4
"Catch a Fire",6.4
"Serial Mom",6.4
"Infamous",6.4
"I Love You Phillip Morris",6.4
"American Pie",6.4
"Ace Ventura: Pet Detective",6.4
"The Upside of Anger",6.4
"The Postman Always Rings Twice",6.4
"Girl with a Pearl Earring",6.4
"Project Almanac",6.4
"The Dangerous Lives of Altar Boys",6.4
"Pet Sematary",6.4
"Jackass Number Two",6.4
"F.I.S.T.",6.4
"For Greater Glory - The True Story of Cristiada",6.4
"The Mighty Ducks",6.4
"Commando",6.4
"The Last Dragon",6.4
"Nick and Norah's Infinite Playlist",6.4
"A Prairie Home Companion",6.4
"Kit Kittredge: An American Girl",6.4
"Drop Dead Gorgeous",6.4
"Body Double",6.4
"Bad Words",6.4
"The House of Mirth",6.4
"Spider",6.4
"The Iceman",6.4
"High Heels and Low Lifes",6.4
"Severance",6.4
"Welcome to the Rileys",6.4
"Eulogy",6.4
"Adam Resurrected",6.4
"Adventureland",6.4
"Next Friday",6.4
"The Way of the Gun",6.4
"New Nightmare",6.4
"Half Baked",6.4
"Wild Target",6.4
"Swimming Pool",6.4
"The Neon Demon",6.4
"Live and Let Die",6.4
"Redbelt",6.4
"The Words",6.4
"Wish I Was Here",6.4
"[REC]²",6.4
"Diary of a Mad Black Woman",6.4
"The Robe",6.4
"The Players Club",6.4
"Nighthawks",6.4
"Force 10 from Navarone",6.4
"Capricorn One",6.4
"Trapeze",6.4
"Scoop",6.4
"Futuro Beach",6.4
"The Dead Girl",6.4
"Torn Curtain",6.4
"Dave Chappelle's Block Party",6.4
"Thirteen Conversations About One Thing",6.4
"The Greatest Movie Ever Sold",6.4
"In the Bedroom",6.4
"Closer to the Moon",6.4
"The Howling",6.4
"Palo Alto",6.4
"A LEGO Brickumentary",6.4
"Loving Annabelle",6.4
"Celeste & Jesse Forever",6.4
"The Kentucky Fried Movie",6.4
"Lonesome Jim",6.4
"The Prophecy",6.4
"Pieces of April",6.4
"Wendy and Lucy",6.4
"Like Crazy",6.4
"Ink",6.4
"George Washington",6.4
"The Exploding Girl",6.4
"Slacker",6.4
"Spectre",6.3
"The Chronicles of Narnia: Prince Caspian",6.3
"X-Men: The Last Stand",6.3
"TRON: Legacy",6.3
"Warcraft",6.3
"Bolt",6.3
"Lethal Weapon 4",6.3
"Bad Boys II",6.3
"Australia",6.3
"Rio 2",6.3
"Prometheus",6.3
"The Chronicles of Riddick",6.3
"The Wolverine",6.3
"Star Wars: Episode I - The Phantom Menace",6.3
"Night at the Museum",6.3
"The Spiderwick Chronicles",6.3
"Unstoppable",6.3
"What Lies Beneath",6.3
"Safe House",6.3
"Over the Hedge",6.3
"Something's Gotta Give",6.3
"Just Go with It",6.3
"Eagle Eye",6.3
"Monster House",6.3
"Titan A.E.",6.3
"Star Trek: Insurrection",6.3
"The Finest Hours",6.3
"You've Got Mail",6.3
"The Mask of Zorro",6.3
"Space Cowboys",6.3
"Sin City: A Dame to Kill For",6.3
"Jack Reacher",6.3
"Practical Magic",6.3
"The Legend of Bagger Vance",6.3
"Flyboys",6.3
"Death Becomes Her",6.3
"The Forbidden Kingdom",6.3
"Black Mass",6.3
"Ted",6.3
"How to Lose a Guy in 10 Days",6.3
"Outbreak",6.3
"Unfaithful",6.3
"Syriana",6.3
"Silent Hill",6.3
"The Beach",6.3
"For Love of the Game",6.3
"Run All Night",6.3
"My Best Friend's Wedding",6.3
"The Pelican Brief",6.3
"Patriot Games",6.3
"Miracle at St. Anna",6.3
"Big Trouble",6.3
"Rambo: First Blood Part II",6.3
"The Mechanic",6.3
"The Warrior's Way",6.3
"Lucy",6.3
"Get Rich or Die Tryin'",6.3
"Soul Men",6.3
"The Warlords",6.3
"The Grandmaster",6.3
"The Ninth Gate",6.3
"White Squall",6.3
"Snow Falling on Cedars",6.3
"In & Out",6.3
"The Man in the Iron Mask",6.3
"Blast from the Past",6.3
"Midnight in the Garden of Good and Evil",6.3
"Thunder and the House of Magic",6.3
"Safe",6.3
"This Is the End",6.3
"The Number 23",6.3
"Dreamer: Inspired By a True Story",6.3
"The Quick and the Dead",6.3
"13 Going on 30",6.3
