tDept,tSid,institution_name,tFname,tMiddlename,tLname,tid,tNumRatings,rating_class,contentType,categoryType,overall_rating
Mathematics,186,Case Western Reserve University,Pierre,,Dolcine,1161677,0,zero,TEACHER,PROFESSOR,N/A
Law,186,Case Western Reserve University,William,,Doll,2059995,4,good,TEACHER,PROFESSOR,3.8
English,186,Case Western Reserve University,Susan,,Dominguez,2480616,1,poor,TEACHER,PROFESSOR,1.0
Engineering,186,Case Western Reserve University,James,,Drake,27971,22,good,TEACHER,PROFESSOR,4.5
Physics,186,Case Western Reserve University,Diana,,Driscoll,60398,47,good,TEACHER,PROFESSOR,3.6
Biomedical Engineering,186,Case Western Reserve University,Colin,K,Drummond,1792504,6,good,TEACHER,PROFESSOR,3.9
Nursing,186,Case Western Reserve University,Colin,,Drummond,2002118,4,poor,TEACHER,PROFESSOR,2.4
Biology,186,Case Western Reserve University,Richard,,Drushel,16819,28,good,TEACHER,PROFESSOR,4.3
Psychology,186,Case Western Reserve University,Jeanne,,Duax,1272713,1,good,TEACHER,PROFESSOR,4.0
Economics,186,Case Western Reserve University,Robin,,Dubin,17816,31,average,TEACHER,PROFESSOR,2.7
Chemistry,186,Case Western Reserve University,Robert,,Dunbar,16795,15,poor,TEACHER,PROFESSOR,2.3
Mathematics,186,Case Western Reserve University,John,,Duncan,1549372,5,average,TEACHER,PROFESSOR,3.3
Biomedical Engineering,186,Case Western Reserve University,Dominique,,Durand,629668,4,good,TEACHER,PROFESSOR,3.9
Chemical Engineering,186,Case Western Reserve University,Christine,,Duval,2424767,5,good,TEACHER,PROFESSOR,3.6
English,186,Case Western Reserve University,Eric,,Earnhardt,2029593,1,good,TEACHER,PROFESSOR,4.5
English,186,Case Western Reserve University,Malcah,,Effron,1772054,9,poor,TEACHER,PROFESSOR,2.4
Modern Languages,186,Case Western Reserve University,Linda,,Ehrlich,17581,8,good,TEACHER,PROFESSOR,3.6
English,186,Case Western Reserve University,Kimberly,,Emmons,408063,4,good,TEACHER,PROFESSOR,4.9
Law,186,Case Western Reserve University,Jonathan,,Entin,391548,17,average,TEACHER,PROFESSOR,3.3
Engineering,186,Case Western Reserve University,Steven,,Eppell,484004,10,good,TEACHER,PROFESSOR,3.7
Sociology,186,Case Western Reserve University,Mary,,Erdmans,1780562,10,good,TEACHER,PROFESSOR,3.6
Computer Science,186,Case Western Reserve University,Levent,,Ertaul,1162893,2,good,TEACHER,PROFESSOR,4.0
Modern Languages,186,Case Western Reserve University,Haydee  ,,Espino Castillo,1991177,2,poor,TEACHER,PROFESSOR,2.2
Chemical Engineering,186,Case Western Reserve University,Nathan,,Ewell,2383540,2,good,TEACHER,PROFESSOR,5.0
English,186,Case Western Reserve University,Katharine,,Ewing,2363006,0,zero,TEACHER,PROFESSOR,N/A
Psychology,186,Case Western Reserve University,Julie,,Exline,49248,22,good,TEACHER,PROFESSOR,4.2
Medicine,186,Case Western Reserve University,Agata,,Exner,801571,0,zero,TEACHER,PROFESSOR,N/A
Dental,186,Case Western Reserve University,Fady,,Faddoul,1698927,0,zero,TEACHER,PROFESSOR,N/A
Psychology,186,Case Western Reserve University,Joseph,,Fagan,135163,13,good,TEACHER,PROFESSOR,4.7
Medicine,186,Case Western Reserve University,Tommasso,,Falcone,1667484,0,zero,TEACHER,PROFESSOR,N/A
Statistics,186,Case Western Reserve University,Richard,,Fan,958571,4,good,TEACHER,PROFESSOR,4.4
Statistics,186,Case Western Reserve University,Souha,,Fares,1378537,2,good,TEACHER,PROFESSOR,4.0
Theatre  Dance,186,Case Western Reserve University,Anaya,,Farrell,2101513,6,good,TEACHER,PROFESSOR,4.0
Writing,186,Case Western Reserve University,Narcisz,,Fejes,2008035,8,good,TEACHER,PROFESSOR,4.5
Chemical Engineering,186,Case Western Reserve University,Donald,,Feke,34953,26,good,TEACHER,PROFESSOR,5.0
Medicine,186,Case Western Reserve University,David,,Feldman,197964,0,zero,TEACHER,PROFESSOR,N/A
Nonprofit Management,186,Case Western Reserve University,Steven,,Feldman,1681715,4,good,TEACHER,PROFESSOR,4.3
Sociology,186,Case Western Reserve University,Karie,,Feldman,1860051,30,good,TEACHER,PROFESSOR,4.2
Electrical Engineering,186,Case Western Reserve University,Philip,,Feng,1870500,6,average,TEACHER,PROFESSOR,3.0
Music,186,Case Western Reserve University,Paul,,Ferguson,88778,10,average,TEACHER,PROFESSOR,3.3
Modern Languages,186,Case Western Reserve University,M. Elena,,Fernandez,51988,13,average,TEACHER,PROFESSOR,2.7
Mathematics,186,Case Western Reserve University,Ulises,,Fidalgo,2196125,19,good,TEACHER,PROFESSOR,3.5
Computer Science,186,Case Western Reserve University,Chris,,Fietkiewicz,279869,104,good,TEACHER,PROFESSOR,3.7
Physics,186,Case Western Reserve University,Pavel,,Fileviez Perez,2464841,0,zero,TEACHER,PROFESSOR,N/A
Finance,186,Case Western Reserve University,Scott,,Fine,131771,12,good,TEACHER,PROFESSOR,3.8
Art Education,186,Case Western Reserve University,Margaret,,Fischer,88360,5,good,TEACHER,PROFESSOR,4.9
Social Science,186,Case Western Reserve University,Rob,,Fischer,229215,0,zero,TEACHER,PROFESSOR,N/A
Modern Languages,186,Case Western Reserve University,Margaret,,Fitzgerald,17584,23,good,TEACHER,PROFESSOR,3.9
Statistics,186,Case Western Reserve University,Paula,,Fitzgibbon,324159,12,good,TEACHER,PROFESSOR,4.2
Nursing,186,Case Western Reserve University,Joyce,,Fitzpatrick,2146279,0,zero,TEACHER,PROFESSOR,N/A
Sociology,186,Case Western Reserve University,Michael,,Flatt,1563120,8,good,TEACHER,PROFESSOR,4.1
English,186,Case Western Reserve University,Christopher,,Flint,106740,9,good,TEACHER,PROFESSOR,4.5
History,186,Case Western Reserve University,John,,Flores,1424154,13,good,TEACHER,PROFESSOR,4.5
Management,186,Case Western Reserve University,Kevin,,Flynn,2202734,2,good,TEACHER,PROFESSOR,5.0
Accounting,186,Case Western Reserve University,Timothy,,Fogarty,1104860,7,average,TEACHER,PROFESSOR,3.4
Nursing,186,Case Western Reserve University,David,,Foley,2370881,1,good,TEACHER,PROFESSOR,4.0
Music,186,Case Western Reserve University,Timothy,,Fong,1219460,0,zero,TEACHER,PROFESSOR,N/A
Economics,186,Case Western Reserve University,Silke,,Forbes,1807100,8,good,TEACHER,PROFESSOR,4.0
Mathematics,186,Case Western Reserve University,Brendan,,Foreman,1965650,2,good,TEACHER,PROFESSOR,4.8
English,186,Case Western Reserve University,Thomas (kenny),,Fountain,1388775,4,good,TEACHER,PROFESSOR,4.6
Dental,186,Case Western Reserve University,Steven,,Fox,1472837,2,good,TEACHER,PROFESSOR,3.5
Biology,186,Case Western Reserve University,Jessica,,Fox,2254081,3,good,TEACHER,PROFESSOR,4.0
Medicine,186,Case Western Reserve University,Scott,,Frank,2168505,3,good,TEACHER,PROFESSOR,3.7
Communication Sciences,186,Case Western Reserve University,Lisa,,Freebairn,2499076,0,zero,TEACHER,PROFESSOR,N/A
Philosophy,186,Case Western Reserve University,Shannon,,French,1568033,13,good,TEACHER,PROFESSOR,4.8
Dental,186,Case Western Reserve University,Sharon,,Freudenberger,2181656,0,zero,TEACHER,PROFESSOR,N/A
History,186,Case Western Reserve University,Jia Chen,,FU,1580746,4,good,TEACHER,PROFESSOR,3.5
Computer Science,186,Case Western Reserve University,Michael,,Fu,2252150,4,average,TEACHER,PROFESSOR,2.7
Law,186,Case Western Reserve University,Leon,,Gabinet,1245730,2,good,TEACHER,PROFESSOR,4.2
Dental,186,Case Western Reserve University,Stephen,,Gage,963037,0,zero,TEACHER,PROFESSOR,N/A
Anthropology,186,Case Western Reserve University,Atwood,,Gaines,597137,22,average,TEACHER,PROFESSOR,3.1
Theatre & Dance,186,Case Western Reserve University,T.J.,,Gainley,1544359,0,zero,TEACHER,PROFESSOR,N/A
Nursing,186,Case Western Reserve University,Laurine,A.,Gajkowski,2165487,0,zero,TEACHER,PROFESSOR,N/A
Computer Science,186,Case Western Reserve University,Roberto,Fernandez,Galan,2230028,34,average,TEACHER,PROFESSOR,2.6
Nursing,186,Case Western Reserve University,Janine,,Galeski,1969092,2,average,TEACHER,PROFESSOR,3.3
Economics,186,Case Western Reserve University,Justin,,Gallagher,2001566,6,average,TEACHER,PROFESSOR,2.8
Social Work,186,Case Western Reserve University,Kathi,,Gant,1990286,1,good,TEACHER,PROFESSOR,5.0
Physics,186,Case Western Reserve University,Xuan,,Gao,1307855,5,good,TEACHER,PROFESSOR,3.5
Mechanical Engineering,186,Case Western Reserve University,Robert,X.,Gao,2277583,0,zero,TEACHER,PROFESSOR,N/A
Mathematics,186,Case Western Reserve University,Eric,,Garcia,1162951,0,zero,TEACHER,PROFESSOR,N/A
Nursing,186,Case Western Reserve University,Kimberly,,Garcia,2417020,3,average,TEACHER,PROFESSOR,2.7
Engineering,186,Case Western Reserve University,Mario,,Garcia-Sanz,1899455,4,good,TEACHER,PROFESSOR,4.5
Music,186,Case Western Reserve University,Matthew,,Garrett,2374233,1,good,TEACHER,PROFESSOR,5.0
Civil Engineering,186,Case Western Reserve University,Dario,,Gasparini,29223,11,good,TEACHER,PROFESSOR,4.7
History,186,Case Western Reserve University,Jay,,Geller,1624499,14,good,TEACHER,PROFESSOR,4.0
English,186,Case Western Reserve University,Jessica,,Gerard,1633523,1,good,TEACHER,PROFESSOR,5.0
Law,186,Case Western Reserve University,Peter,,Gerhart,391557,13,good,TEACHER,PROFESSOR,3.8
Philosophy,186,Case Western Reserve University,Monica,,Gerrek,2415566,2,good,TEACHER,PROFESSOR,5.0
Art History,186,Case Western Reserve University,Elina,,Gertsman,1757436,1,good,TEACHER,PROFESSOR,4.5
Marketing,186,Case Western Reserve University,Somali,,Ghosh,2196149,9,good,TEACHER,PROFESSOR,4.2
Management,186,Case Western Reserve University,James,,Gilmore,2295239,7,good,TEACHER,PROFESSOR,4.1
Art,186,Case Western Reserve University,Joann,,Giordano,1127656,6,poor,TEACHER,PROFESSOR,2.2
Mathematics,186,Case Western Reserve University,Victor,,Glasgo,2515993,0,zero,TEACHER,PROFESSOR,N/A
Mathematics,186,Case Western Reserve University,Joseph,,Gleyzer,1161429,0,zero,TEACHER,PROFESSOR,N/A
Dental,186,Case Western Reserve University,Jerold,,Goldberg,983490,0,zero,TEACHER,PROFESSOR,N/A
Music,186,Case Western Reserve University,Daniel,,Goldmark,167910,8,good,TEACHER,PROFESSOR,4.9
Anthropology,186,Case Western Reserve University,Melvyn,,Goldstein,194456,23,average,TEACHER,PROFESSOR,3.0
English,186,Case Western Reserve University,Paulette,,Goll,64797,14,average,TEACHER,PROFESSOR,3.0
Arts  Sciences,186,Case Western Reserve University,Christian,,Gomez Olivares,2036112,0,zero,TEACHER,PROFESSOR,N/A
Modern Languages,186,Case Western Reserve University,Cristian,,Gomez Olivares,2085981,2,average,TEACHER,PROFESSOR,3.0
Modern Languages,186,Case Western Reserve University,Cristian,,Gomez Oliviares,2053771,1,average,TEACHER,PROFESSOR,2.5
Modern Languages,186,Case Western Reserve University,Haomin James,,Gong,2058857,0,zero,TEACHER,PROFESSOR,N/A
Biomedical Engineering,186,Case Western Reserve University,Luis,,Gonzalez-Reyes,2477510,2,average,TEACHER,PROFESSOR,3.0
Nursing,186,Case Western Reserve University,Marion,,Good,1604844,0,zero,TEACHER,PROFESSOR,N/A
Mathematics,186,Case Western Reserve University,Donald,,Gooden,1168123,0,zero,TEACHER,PROFESSOR,N/A
Information Systems,186,Case Western Reserve University,Tanvir,,Goraya,246371,0,zero,TEACHER,PROFESSOR,N/A
History,186,Case Western Reserve University,John,,Grabowski,195049,16,good,TEACHER,PROFESSOR,4.2
Sociology,186,Case Western Reserve University,Brian,,Gran,274729,19,good,TEACHER,PROFESSOR,4.8
Accounting,186,Case Western Reserve University,Julia,,Grant,1318235,0,zero,TEACHER,PROFESSOR,N/A
Biomedical Engineering,186,Case Western Reserve University,Miklos,,Gratzl,1049939,10,poor,TEACHER,PROFESSOR,2.0
Chemistry,186,Case Western Reserve University,Thomas,,Gray,655787,6,good,TEACHER,PROFESSOR,4.3
Mathematics,186,Case Western Reserve University,Vincent,J,Graziano,1765018,47,average,TEACHER,PROFESSOR,2.7
Political Science,186,Case Western Reserve University,Jessica,,Green,1511560,6,average,TEACHER,PROFESSOR,3.2
Biochemistry,186,Case Western Reserve University,Michael,,Greenberg,2161221,0,zero,TEACHER,PROFESSOR,N/A
Psychology,186,Case Western Reserve University,Robert,,Greene,394381,26,good,TEACHER,PROFESSOR,3.8
Anthropology,186,Case Western Reserve University,Lawrence,,Greksa,19039,32,good,TEACHER,PROFESSOR,3.9
English,186,Case Western Reserve University,Sarah,,Gridley,1412146,10,good,TEACHER,PROFESSOR,4.0
Sociology,186,Case Western Reserve University,Alan,,Grigsby,2324019,2,good,TEACHER,PROFESSOR,4.5
English,186,Case Western Reserve University,Mary,,Grimm,52896,6,good,TEACHER,PROFESSOR,4.7
Psychology,186,Case Western Reserve University,Susan,,Gross,2317638,3,good,TEACHER,PROFESSOR,4.7
Chemical Engineering,186,Case Western Reserve University,Michael,,Grossner,1776549,0,zero,TEACHER,PROFESSOR,N/A
Mathematics,186,Case Western Reserve University,David,,Grzybowski,2521524,0,zero,TEACHER,PROFESSOR,N/A
Nursing,186,Case Western Reserve University,Kristen,A,Guadalupe,1826572,0,zero,TEACHER,PROFESSOR,N/A
Art History,186,Case Western Reserve University,Noelle,,Guiffrida,2237004,2,good,TEACHER,PROFESSOR,4.5
Mathematics,186,Case Western Reserve University,Weihong,,Guo,1473984,20,good,TEACHER,PROFESSOR,4.0
Finance,186,Case Western Reserve University,Anurag,,Gupta,1550466,2,average,TEACHER,PROFESSOR,3.0
Mathematics,186,Case Western Reserve University,David,,Gurarie,26337,51,poor,TEACHER,PROFESSOR,1.9
Chemical Engineering,186,Case Western Reserve University,Burcu,,Gurkan,2380322,1,average,TEACHER,PROFESSOR,3.0
Mechanical Engineering,186,Case Western Reserve University,Umut,A,Gurkan,1986089,3,good,TEACHER,PROFESSOR,4.2
Electrical Engineering,186,Case Western Reserve University,Evren,,Gurkan-Cavusoglu,1901816,31,good,TEACHER,PROFESSOR,4.4
Mathematics,186,Case Western Reserve University,Nick,,Gurski,2489104,1,poor,TEACHER,PROFESSOR,2.0
Biomedical Engineering,186,Case Western Reserve University,Kenneth,,Gustafson,2121844,3,good,TEACHER,PROFESSOR,4.0
Religion,186,Case Western Reserve University,Peter,,Haas,80243,17,average,TEACHER,PROFESSOR,3.4
Anthropology,186,Case Western Reserve University,Bridget,,Haas,2136480,2,good,TEACHER,PROFESSOR,4.5
History,186,Case Western Reserve University,David,,Hammack,130702,8,good,TEACHER,PROFESSOR,3.9
Mathematics,186,Case Western Reserve University,Mike,,Hampton,2187064,11,good,TEACHER,PROFESSOR,4.8
English,186,Case Western Reserve University,Tasia,,Hane,787004,10,good,TEACHER,PROFESSOR,3.9
Anthropology,186,Case Western Reserve University,Michele,,Hanks,1761224,8,good,TEACHER,PROFESSOR,4.9
Dental,186,Case Western Reserve University,Mark,,Hans,938192,2,good,TEACHER,PROFESSOR,5.0
Information Systems,186,Case Western Reserve University,Sean,,Hansen,967157,3,good,TEACHER,PROFESSOR,5.0
Biochemistry,186,Case Western Reserve University,Richard,,Hanson,820060,5,good,TEACHER,PROFESSOR,4.4
Anthropology,186,Case Western Reserve University,Paul,,Hanson,2003807,36,good,TEACHER,PROFESSOR,4.7
Political Science,186,Case Western Reserve University,Joseph,,Harder,1202255,0,zero,TEACHER,PROFESSOR,N/A
Finance,186,Case Western Reserve University,Greg,,Harmon,2194907,7,good,TEACHER,PROFESSOR,3.5
Biology,186,Case Western Reserve University,Deborah,,Harris,1575174,18,average,TEACHER,PROFESSOR,3.0
Biochemistry,186,Case Western Reserve University,Michael,,Harris,2161222,0,zero,TEACHER,PROFESSOR,N/A
Nutrition,186,Case Western Reserve University,Stephanie,,Harris,1835693,3,good,TEACHER,PROFESSOR,4.0
Marketing,186,Case Western Reserve University,Nathaniel,,Hartmann,2434495,0,zero,TEACHER,PROFESSOR,N/A
Geology,186,Case Western Reserve University,Ralph,,Harvey,240616,11,good,TEACHER,PROFESSOR,3.5
Anthropology,186,Case Western Reserve University,Tenibac S,,Harvey,396050,9,good,TEACHER,PROFESSOR,4.3
Geology,186,Case Western Reserve University,Steven,,Hauck,515562,6,good,TEACHER,PROFESSOR,4.0
Philosophy,186,Case Western Reserve University,Christopher,,Haufe,1826971,8,good,TEACHER,PROFESSOR,3.6
Economics,186,Case Western Reserve University,Jenny,Rae,Hawkins,1997411,24,good,TEACHER,PROFESSOR,4.1
Modern Languages,186,Case Western Reserve University,Fabienne,,Haymore,17741,26,good,TEACHER,PROFESSOR,4.2
Biology,186,Case Western Reserve University,Stephen,,Haynesworth,864958,8,good,TEACHER,PROFESSOR,4.2
Biology,186,Case Western Reserve University,Valerie,,Haywood,1158181,81,average,TEACHER,PROFESSOR,3.2
History,186,Case Western Reserve University,Lisa,,Hazirjian,1212849,5,good,TEACHER,PROFESSOR,3.8
Social Science,186,Case Western Reserve University,Maureen,,Heffernan,1424533,0,zero,TEACHER,PROFESSOR,N/A
Music,186,Case Western Reserve University,Stephen,,Hefling,632628,3,good,TEACHER,PROFESSOR,4.5
Dental,186,Case Western Reserve University,Masahiro,,Heima,2005565,0,zero,TEACHER,PROFESSOR,N/A
Art History,186,Case Western Reserve University,Anne,,Helmreich,793313,6,good,TEACHER,PROFESSOR,4.2
Economics,186,Case Western Reserve University,Susan,,Helper,899494,5,average,TEACHER,PROFESSOR,3.3
Music,186,Case Western Reserve University,Benjamin,,Helton,2323720,2,good,TEACHER,PROFESSOR,4.0
Classics,186,Case Western Reserve University,Martin,,Helzle,88450,14,good,TEACHER,PROFESSOR,4.9
Computer Science,186,Case Western Reserve University,Tim,,Henderson,1966988,1,good,TEACHER,PROFESSOR,4.0
Philosophy,186,Case Western Reserve University,Laura,,Hengehold,27508,18,good,TEACHER,PROFESSOR,4.3
Biology,186,Case Western Reserve University,Cara,,Henry,1030115,2,good,TEACHER,PROFESSOR,4.8
Physical Education,186,Case Western Reserve University,Josie,,Henry,2329774,0,zero,TEACHER,PROFESSOR,N/A
Chemistry,186,Case Western Reserve University,Raul,Juarez,Hernandez,2200718,7,good,TEACHER,PROFESSOR,4.0
Materials Science,186,Case Western Reserve University,Arthur,,Heuer,1474812,2,poor,TEACHER,PROFESSOR,1.8
English,186,Case Western Reserve University,John,,Higgins,2369394,3,good,TEACHER,PROFESSOR,5.0
Anthropology,186,Case Western Reserve University,Vanessa,,Hildebrand,1733165,3,good,TEACHER,PROFESSOR,5.0
Law,186,Case Western Reserve University,Beatrice Jessie,,Hill,436686,5,good,TEACHER,PROFESSOR,3.6
Physics,186,Case Western Reserve University,Michael,,Hinczewski,2074351,1,good,TEACHER,PROFESSOR,5.0
Physics,186,Case Western Reserve University,Kurt,,Hinterbichler,2308745,1,good,TEACHER,PROFESSOR,5.0
Sociology,186,Case Western Reserve University,Susan,,Hinze,952932,8,good,TEACHER,PROFESSOR,4.5
Communication Sciences,186,Case Western Reserve University,Alan,,Ho,2338490,1,poor,TEACHER,PROFESSOR,1.0
Nutrition,186,Case Western Reserve University,Carolyn,,Hodges,2370877,2,good,TEACHER,PROFESSOR,4.5
Political Science,186,Case Western Reserve University,Matthew,,Hodgetts,2447158,2,good,TEACHER,PROFESSOR,4.0
Writing,186,Case Western Reserve University,Joshua,S,Hoeynck,1784385,14,good,TEACHER,PROFESSOR,4.5
Anthropology,186,Case Western Reserve University,Lee,,Hoffer,1668067,6,good,TEACHER,PROFESSOR,5.0
Law,186,Case Western Reserve University,Sharona,,Hoffman,856741,6,average,TEACHER,PROFESSOR,3.1
Education,186,Case Western Reserve University,Jolly,,Holden,1178357,0,zero,TEACHER,PROFESSOR,N/A
Accounting,186,Case Western Reserve University,Anthony,,Holder,1710768,0,zero,TEACHER,PROFESSOR,N/A
Electrical Engineering,186,Case Western Reserve University,Mingguo,,Hong,2299792,1,good,TEACHER,PROFESSOR,5.0
Social Work,186,Case Western Reserve University,Malika,,Hook Muhammad,2444014,1,poor,TEACHER,PROFESSOR,1.0
Macromolecular Science  Eng,186,Case Western Reserve University,Michael-Jon,,Hore,2230566,4,good,TEACHER,PROFESSOR,5.0
Mathematics,186,Case Western Reserve University,Mary,Ann,Horn,2522662,0,zero,TEACHER,PROFESSOR,N/A
Music,186,Case Western Reserve University,Kathleen,,Horvath,88777,10,good,TEACHER,PROFESSOR,4.3
Mechanical Engineering,186,Case Western Reserve University,Steven,,Hostler,984126,4,good,TEACHER,PROFESSOR,5.0
Music,186,Case Western Reserve University,Jack,,Hourihane,2005111,1,poor,TEACHER,PROFESSOR,1.0
English,186,Case Western Reserve University,Michael,,Householder,1971006,7,good,TEACHER,PROFESSOR,3.5
Philosophy,186,Case Western Reserve University,Kevin,,Houser,2140629,11,good,TEACHER,PROFESSOR,3.5
Management,186,Case Western Reserve University,Anita,,Howard,1040521,10,average,TEACHER,PROFESSOR,3.0
Religion,186,Case Western Reserve University,Justine,,Howe,1861597,10,good,TEACHER,PROFESSOR,4.7
Electrical Engineering,186,Case Western Reserve University,Ming-Chun,,Huang,2285217,14,average,TEACHER,PROFESSOR,3.3
Civil Engineering,186,Case Western Reserve University,Arthur,,Huckelbridge,29229,5,good,TEACHER,PROFESSOR,4.3
Nursing,186,Case Western Reserve University,Christine,,Hudak,1020817,7,good,TEACHER,PROFESSOR,4.1
Mathematics,186,Case Western Reserve University,Michael,,Hurley,63383,38,average,TEACHER,PROFESSOR,3.4
Sociology,186,Case Western Reserve University,Heather,,Hurwitz,2402033,7,average,TEACHER,PROFESSOR,2.7
Medicine,186,Case Western Reserve University,Insoo,,Hyun,347175,21,good,TEACHER,PROFESSOR,4.7
English,186,Case Western Reserve University,Denna,,Iammarino,2362215,3,average,TEACHER,PROFESSOR,3.3
Anthropology,186,Case Western Reserve University,Charlotte,,Ikels,26373,6,poor,TEACHER,PROFESSOR,2.0
MacRomolecular Science & Eng,186,Case Western Reserve University,Hatsuo,,Ishida,131374,36,average,TEACHER,PROFESSOR,3.4
Modern Languages,186,Case Western Reserve University,Aiko,,Ishii,1869157,1,good,TEACHER,PROFESSOR,5.0
Modern Languages,186,Case Western Reserve University,Ramez,,Islambouli,948043,23,good,TEACHER,PROFESSOR,4.7
Classics,186,Case Western Reserve University,Paul,,Iversen,531990,6,good,TEACHER,PROFESSOR,4.7
Mathematics,186,Case Western Reserve University,Steven,,Izen,75386,46,good,TEACHER,PROFESSOR,3.5
Philosophy,186,Case Western Reserve University,Anthony,,Jack,1085087,56,good,TEACHER,PROFESSOR,4.2
Nursing,186,Case Western Reserve University,Molly,,Jackson,2358094,0,zero,TEACHER,PROFESSOR,N/A
MacRomolecular Science & Eng,186,Case Western Reserve University,Alexander,,Jamieson,203101,9,average,TEACHER,PROFESSOR,2.7
Organizational Behavior,186,Case Western Reserve University,Sophie,,Jane,2313444,0,zero,TEACHER,PROFESSOR,N/A
Astronomy,186,Case Western Reserve University,Bill,,Janesh,2458442,1,good,TEACHER,PROFESSOR,5.0
English,186,Case Western Reserve University,Paul,,Jaussen,1890664,1,good,TEACHER,PROFESSOR,4.5
Mathematics,186,Case Western Reserve University,Justin,,Jenkinson,922895,3,good,TEACHER,PROFESSOR,3.5
Civil Engineering,186,Case Western Reserve University,Aaron,,Jennings,29220,5,good,TEACHER,PROFESSOR,4.6
Theatre & Dance,186,Case Western Reserve University,John,,Jensen,1042812,9,good,TEACHER,PROFESSOR,4.9
English,186,Case Western Reserve University,Gerard,,Jessica,1562794,3,good,TEACHER,PROFESSOR,3.5
English,186,Case Western Reserve University,Megan,,Jewell,1640472,6,good,TEACHER,PROFESSOR,3.9
English,186,Case Western Reserve University,Wei,,Jiang,2398815,1,good,TEACHER,PROFESSOR,5.0
History,186,Case Western Reserve University,Bernard,,Jim,1098774,5,good,TEACHER,PROFESSOR,4.9
Writing,186,Case Western Reserve University,Bernard,,Jim,1986727,2,good,TEACHER,PROFESSOR,5.0
Computer Science,186,Case Western Reserve University,Shudong,,Jin,774534,8,average,TEACHER,PROFESSOR,2.5
Accounting,186,Case Western Reserve University,Jennifer,,Johnson,1419446,0,zero,TEACHER,PROFESSOR,N/A
Computer Science,186,Case Western Reserve University,Eamon,,Johnson,2400271,5,average,TEACHER,PROFESSOR,3.4
Biology,186,Case Western Reserve University,Emmitt,,Jolly,1793877,5,good,TEACHER,PROFESSOR,4.4
Accounting,186,Case Western Reserve University,David,,Jones,1566437,3,good,TEACHER,PROFESSOR,4.7
Biochemistry,186,Case Western Reserve University,Stephen,,Jones,2191526,0,zero,TEACHER,PROFESSOR,N/A
English,186,Case Western Reserve University,Sam,,Joseph,1176082,0,zero,TEACHER,PROFESSOR,N/A
Mathematics,186,Case Western Reserve University,Charles,,Joseph,1737030,2,good,TEACHER,PROFESSOR,4.8
Chemistry,186,Case Western Reserve University,Raul,E,Juarez,1848909,22,good,TEACHER,PROFESSOR,4.0
Nursing,186,Case Western Reserve University,Evanne,,Juratovac,2436057,0,zero,TEACHER,PROFESSOR,N/A
General Education,186,Case Western Reserve University,David,,Jurca,1599235,0,zero,TEACHER,PROFESSOR,N/A
Mechanical Engineering,186,Case Western Reserve University,Jaikrishnan,,Kadambi,233797,10,average,TEACHER,PROFESSOR,3.3
Nutrition,186,Case Western Reserve University,Lynn,C,Kam,1881951,7,average,TEACHER,PROFESSOR,3.4
Biology,186,Case Western Reserve University,Shah,,Kamal,1177506,0,zero,TEACHER,PROFESSOR,N/A
Biochemistry,186,Case Western Reserve University,Hung-Ying,,Kao,1700444,3,poor,TEACHER,PROFESSOR,1.9
Not Specified,186,Case Western Reserve University,Rachel,,Kapelle,1498370,4,good,TEACHER,PROFESSOR,4.9
Biomedical Engineering,186,Case Western Reserve University,Efstathios,,Karathanasis,1509394,6,good,TEACHER,PROFESSOR,3.8
Geology,186,Case Western Reserve University,James,,Karner,1461212,0,zero,TEACHER,PROFESSOR,N/A
Geology,186,Case Western Reserve University,Jim,,Karner,1461213,1,good,TEACHER,PROFESSOR,5.0
Physics,186,Case Western Reserve University,Kathleen,,Kash,888837,5,average,TEACHER,PROFESSOR,3.2
Law,186,Case Western Reserve University,Lewis,,Katz,1159967,3,good,TEACHER,PROFESSOR,4.2
Nursing,186,Case Western Reserve University,Mary,,Kavanagh,2132575,1,average,TEACHER,PROFESSOR,3.0
Electrical Engineering,186,Case Western Reserve University,David,,Kazdan,2110102,2,good,TEACHER,PROFESSOR,5.0
Political Science,186,Case Western Reserve University,William,,Keating,1197259,0,zero,TEACHER,PROFESSOR,N/A
Sociology,186,Case Western Reserve University,Jessica,,Kelley-Moore,2128510,3,good,TEACHER,PROFESSOR,5.0
English,186,Case Western Reserve University,Kristine,,Kelly,799340,14,good,TEACHER,PROFESSOR,3.8
Physical Education,186,Case Western Reserve University,Chris,,Kelly,2193083,3,good,TEACHER,PROFESSOR,5.0
English,186,Case Western Reserve University,Caitlin,,Kelly,2430521,2,good,TEACHER,PROFESSOR,3.5
Physical Education,186,Case Western Reserve University,Patrick,,Kennedy,25944,4,average,TEACHER,PROFESSOR,3.0
Chemistry,186,Case Western Reserve University,Michael,,Kenney,844345,84,average,TEACHER,PROFESSOR,3.2
Law,186,Case Western Reserve University,Maureen,,Kenny,1098770,4,average,TEACHER,PROFESSOR,3.4
Chemistry,186,Case Western Reserve University,Micheal,,Kenny,1332802,9,average,TEACHER,PROFESSOR,2.8
Medicine,186,Case Western Reserve University,Timothy,,Kern,986527,0,zero,TEACHER,PROFESSOR,N/A
Physics,186,Case Western Reserve University,Peter,,Kernan,606972,20,average,TEACHER,PROFESSOR,2.8
Mechanical Engineering,186,Case Western Reserve University,Chirag,,Kharangate,2386158,4,average,TEACHER,PROFESSOR,2.8
